"user_id","course_id","chapter_id","lesson_id"
"1134","1","6","7"
"1134","3","7","9"
"1134","4","3","7"
"1134","5","1","1"
"1134","10","2","1"
"1136","1","6","6"
"1136","3","8","7"
"1136","4","2","2"
"1136","13","1","1"
"1138","1","2","3"
"1138","3","5","4"
"1138","4","3","2"
"1139","1","2","3"
"1140","1","6","5"
"1140","3","8","7"
"1140","4","3","2"
"1140","5","3","2"
"1140","7","2","4"
"1140","9","1","7"
"1143","1","6","7"
"1143","3","8","3"
"1143","4","3","3"
"1144","1","5","5"
"1146","1","6","1"
"1146","3","9","1"
"1146","4","4","1"
"1146","5","3","3"
"1146","7","1","2"
"1146","9","1","1"
"1146","11","1","1"
"1146","13","2","4"
"1147","1","5","5"
"1147","3","9","1"
"1147","4","3","5"
"1147","5","3","1"
"1147","9","2","3"
"1147","13","2","3"
"1148","1","1","1"
"1149","1","1","2"
"1151","1","6","6"
"1151","3","4","1"
"1152","1","6","5"
"1152","4","2","5"
"1152","5","4","3"
"1152","9","2","1"
"1152","10","2","3"
"1152","12","7","4"
"1152","15","1","2"
"1155","1","3","3"
"1157","1","6","1"
"1157","3","4","10"
"1157","4","1","1"
"1160","1","6","7"
"1160","3","9","1"
"1160","4","4","1"
"1160","5","1","1"
"1163","1","2","3"
"1163","3","8","6"
"1163","4","3","7"
"1163","9","1","1"
"1163","11","1","1"
"1164","1","2","2"
"1169","10","1","1"
"1170","1","3","1"
"1171","1","2","3"
"1171","3","8","3"
"1171","4","2","7"
"1171","5","4","3"
"1171","9","2","1"
"1171","10","2","4"
"1171","12","7","4"
"1171","15","1","1"
"1172","1","6","4"
"1172","3","8","3"
"1172","4","2","2"
"1172","5","2","2"
"1172","7","1","1"
"1174","1","5","2"
"1174","3","8","6"
"1174","4","4","1"
"1174","5","1","2"
"1174","7","1","1"
"1174","9","1","1"
"1174","10","1","1"
"1174","11","1","1"
"1174","12","1","1"
"1174","13","1","1"
"1174","14","1","1"
"1175","1","1","2"
"1175","3","1","6"
"1176","1","3","1"
"1177","1","5","5"
"1178","1","3","3"
"1180","1","5","4"
"1180","3","7","6"
"1180","4","2","1"
"1180","5","2","1"
"1181","1","4","2"
"1181","3","9","1"
"1181","4","4","1"
"1181","5","2","9"
"1181","7","1","1"
"1181","10","4","1"
"1182","1","1","1"
"1183","1","3","1"
"1183","3","1","1"
"1185","1","5","5"
"1185","3","7","11"
"1185","4","3","7"
"1185","5","4","7"
"1185","7","2","5"
"1186","1","5","5"
"1186","3","1","7"
"1187","1","5","2"
"1187","3","6","1"
"1188","1","6","7"
"1188","3","5","5"
"1188","4","1","1"
"1188","5","2","2"
"1188","7","1","1"
"1188","9","1","1"
"1188","12","1","1"
"1188","14","1","1"
"1189","1","2","3"
"1189","3","1","1"
"1190","1","6","6"
"1190","3","8","1"
"1190","4","3","7"
"1190","5","4","3"
"1190","7","1","5"
"1190","9","2","2"
"1190","10","4","3"
"1190","11","2","1"
"1190","12","6","1"
"1190","13","2","4"
"1190","14","2","1"
"1190","15","2","7"
"1190","16","2","8"
"1191","1","6","6"
"1191","3","3","8"
"1191","4","3","1"
"1191","9","2","5"
"1191","12","3","2"
"1193","1","6","6"
"1193","3","1","3"
"1193","5","1","1"
"1193","9","1","3"
"1195","1","6","7"
"1195","3","9","1"
"1195","4","3","7"
"1195","5","4","1"
"1195","9","2","1"
"1195","12","7","5"
"1196","1","1","1"
"1197","1","6","7"
"1197","3","2","1"
"1197","4","1","1"
"1198","1","1","3"
"1199","1","2","4"
"1199","3","9","1"
"1199","4","2","8"
"1199","5","1","1"
"1200","1","6","1"
"1200","3","2","1"
"1200","9","1","1"
"1201","1","6","6"
"1201","3","3","7"
"1201","4","3","2"
"1201","5","3","1"
"1202","1","5","4"
"1202","3","2","8"
"1202","4","2","3"
"1202","9","1","1"
"1205","1","2","3"
"1205","13","2","2"
"1206","1","2","3"
"1206","13","1","1"
"1206","16","1","1"
"1207","1","6","4"
"1208","1","5","2"
"1208","3","6","2"
"1208","4","4","1"
"1208","5","4","5"
"1208","7","1","1"
"1208","9","2","3"
"1208","10","1","2"
"1208","11","1","1"
"1208","12","7","7"
"1208","13","3","1"
"1208","14","2","2"
"1208","15","1","1"
"1208","16","1","1"
"1209","1","3","1"
"1209","3","7","11"
"1209","4","3","4"
"1209","5","2","5"
"1209","12","1","1"
"1211","1","6","4"
"1211","3","8","2"
"1211","4","3","1"
"1211","5","1","3"
"1211","11","1","1"
"1211","13","1","1"
"1216","1","6","4"
"1216","3","7","8"
"1216","4","4","1"
"1216","5","1","2"
"1218","1","2","2"
"1222","1","3","1"
"1223","1","6","7"
"1223","3","5","5"
"1223","4","3","6"
"1224","1","4","1"
"1225","1","6","7"
"1225","3","8","1"
"1225","4","2","1"
"1227","1","4","4"
